,name,name_len,track_number,duration,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,explicit,complexity,popularity_abs,popularity_norm,age_days
65,Whispers of October,19,1,0.09689357679057703,a,minor,4,0.214,0.294,0.74,0.00527,0.0,0.513,0.0304,0.32178092587907914,False,0.10186757215619695,24,0.07317073170731707,3237
66,Prayers,7,2,0.5292555412201054,e,minor,4,0.0002,0.387,0.966,3.14e-06,0.9286783238815375,0.173,0.292,0.8446595987704006,False,0.5050933786078099,39,0.43902439024390244,3237
67,Beautiful Tragedy,17,3,0.5679343214917727,g,major,4,0.0303,0.411,0.95,0.0,0.9331679269061122,0.114,0.423,0.861056811474216,False,0.6188455008488964,44,0.5609756097560976,3237
68,Ashes,5,4,0.5423271373662336,e,minor,4,0.00767,0.379,0.952,0.000224,0.9068604284814114,0.206,0.177,0.9154995438830499,False,0.5696095076400679,36,0.36585365853658536,3237
69,Daddy's Falling Angel,21,5,0.5993217745910581,g,major,4,0.000354,0.332,0.958,0.00257,0.9201717076244486,0.287,0.338,0.9766115493411217,False,0.666383701188455,33,0.2926829268292683,3237
70,Legacy of Odio,14,6,0.5851377594858631,b,minor,4,0.18,0.211,0.664,0.0,0.8710223692501574,0.0371,0.0603,0.5768997845901462,False,0.4830220713073005,26,0.12195121951219512,3237
71,This Moment,11,7,0.560858474989428,d,minor,3,0.00826,0.364,0.93,2.0200000000000003e-05,0.8907923755513548,0.11,0.332,0.9155991996872339,False,0.6001697792869269,36,0.36585365853658536,3237
72,Next Life,9,8,0.5610739556594652,f_sharp,major,4,0.000401,0.554,0.986,0.000173,0.9457703213610587,0.151,0.418,0.2095761561989743,False,0.7181663837011885,28,0.17073170731707318,3237
73,He Said Eternity,16,9,0.5416456797472412,g,major,4,0.00317,0.395,0.928,0.000267,0.8759057971014493,0.166,0.236,0.8901256429715826,False,0.6086587436332768,26,0.12195121951219512,3237
74,Circles,7,10,0.596235013992776,c_or_b_sharp,major,4,0.0173,0.283,0.865,2.11e-06,0.8688957151858853,0.0921,0.195,0.9069291447232251,False,0.5721561969439728,34,0.3170731707317073,3237
75,When the Storm Subsides,23,11,0.6887112370475916,a,major,4,0.441,0.495,0.406,0.000886,0.5607671707624449,0.0374,0.3,0.6466128525324072,False,0.7427843803056027,32,0.2682926829268293,3237
76,The Gun Show,12,1,0.6904700980167697,a,minor,4,0.0297,0.176,0.981,0.000358,0.9199354127284184,0.143,0.0703,0.8982054289415785,False,0.41765704584040747,42,0.5121951219512195,3968
77,Just Drive,10,2,0.47775566108122813,f_sharp,minor,4,0.00655,0.276,0.988,0.0,0.9798755513547575,0.188,0.141,0.8599222684727363,False,0.399830220713073,38,0.4146341463414634,3968
78,The Promise,11,3,0.6408745282993458,a,minor,4,0.0635,0.356,0.97,0.0,0.9408868935097668,0.0935,0.142,0.6306219288764191,False,0.5390492359932089,44,0.5609756097560976,3968
79,Standing Alone,14,4,0.5424348777012522,f_sharp,major,4,0.00267,0.35,0.939,0.0,0.9354127284183995,0.077,0.186,0.20137371693152104,False,0.4694397283531409,31,0.24390243902439024,3968
80,A Star-Crossed Wasteland,24,5,0.6496742201619876,c_or_b_sharp,major,4,0.071,0.267,0.801,1.5899999999999998e-06,0.9221802142407056,0.0465,0.224,0.7048195080069606,False,0.4762308998302207,28,0.17073170731707318,3968
81,Blazin',7,6,0.6211580469909471,f_sharp,major,4,6.09e-05,0.309,0.989,0.00169,0.9321439823566476,0.118,0.181,0.7831489700955928,False,0.5628183361629882,37,0.3902439024390244,3968
82,The Road,8,7,0.5765185326843774,c_sharp_or_d_flat,minor,4,0.00293,0.223,0.978,0.0,0.9626654064272212,0.148,0.151,0.8607655098927549,False,0.45840407470288624,26,0.12195121951219512,3968
83,Iron Army,9,8,0.47764792074620954,e,minor,3,0.000323,0.411,0.993,3.82e-06,0.9631773787019533,0.147,0.108,0.5542242562227383,False,0.4091680814940577,29,0.1951219512195122,3968
84,The Last Cowboy,15,9,0.5500844414875709,a,minor,4,0.00361,0.107,0.954,0.0,0.927536231884058,0.253,0.146,0.8117118567409485,False,0.4380305602716469,38,0.4146341463414634,3968
85,World In Flames,15,10,0.7820493827825558,c_sharp_or_d_flat,major,4,0.168,0.296,0.65,0.0,0.9155639571518588,0.0362,0.182,0.5513878987190396,False,0.6409168081494058,38,0.4146341463414634,3968
