,name,id,track_number,duration,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,explicit,complexity,popularity_abs,popularity_rel
61,You Always Believed,5uc9ZPgiXuyeYGa1TzM3xl,8.0,0.5130944909673196,1.0,1.0,4.0,0.00035800000000000003,0.37,0.99,2.82e-06,0.9799543163201008,0.10099999999999999,0.529,171.715,0.0,0.533955857385399,39.0,0.41025641025641024
62,The Great Divide,6xWgN9yl5Cpg0jTxsYmYNX,9.0,0.5961973048755195,7.0,1.0,4.0,0.0030600000000000002,0.373,0.9790000000000001,0.000865,0.9130040957781979,0.251,0.166,196.085,0.0,0.7292020373514432,38.0,0.38461538461538464
63,Violet Skies,4QpVCBzD9pzaOUm3Pcd8yL,10.0,0.5560478690308488,1.0,1.0,4.0,0.00035299999999999996,0.34700000000000003,0.988,1.62e-05,1.0,0.22699999999999998,0.489,180.25599999999997,0.0,0.5806451612903226,31.0,0.20512820512820512
64,The Dream,3irucyq7iQNz7p25YdAtAD,11.0,0.6808461925912359,2.0,1.0,4.0,0.218,0.33299999999999996,0.5379999999999999,2.3e-05,0.7736294896030246,0.03,0.201,156.02200000000002,0.0,0.6078098471986417,28.0,0.1282051282051282
65,Whispers of October,1JBxGcf45jYwTRmhw97K0L,1.0,0.09689357679057703,9.0,0.0,4.0,0.214,0.294,0.74,0.00527,0.0,0.513,0.0304,109.649,0.0,0.10186757215619695,25.0,0.05128205128205128
66,Prayers,1zkFOuPlR9fa6RVMVcPt1f,2.0,0.5292555412201054,4.0,0.0,4.0,0.0002,0.387,0.966,3.14e-06,0.9286783238815375,0.17300000000000001,0.292,177.858,0.0,0.5050933786078099,40.0,0.4358974358974359
67,Beautiful Tragedy,3eIDFlBvKsssIpKeTSKEO6,3.0,0.5679343214917727,7.0,1.0,4.0,0.0303,0.41100000000000003,0.95,0.0,0.9331679269061122,0.114,0.423,179.997,0.0,0.6188455008488964,45.0,0.5641025641025641
68,Ashes,7wQjtdGlmH1phAPrRMs8KF,4.0,0.5423271373662336,4.0,0.0,4.0,0.007670000000000001,0.379,0.9520000000000001,0.00022400000000000002,0.9068604284814114,0.20600000000000002,0.177,187.09900000000002,0.0,0.5696095076400679,37.0,0.358974358974359
69,Daddy's Falling Angel,618FatKAWaX01mWB8VCUuv,5.0,0.5993217745910581,7.0,1.0,4.0,0.000354,0.332,0.958,0.00257,0.9201717076244486,0.287,0.33799999999999997,195.071,0.0,0.666383701188455,33.0,0.2564102564102564
70,Legacy of Odio,23OQ1M4QI4WyItiOhBhKLX,6.0,0.5851377594858631,11.0,0.0,4.0,0.18,0.21100000000000002,0.664,0.0,0.8710223692501574,0.0371,0.0603,142.929,0.0,0.4830220713073005,27.0,0.10256410256410256
71,This Moment,2ImcEbVdy9YABB0UBofjrR,7.0,0.560858474989428,2.0,0.0,3.0,0.00826,0.364,0.93,2.02e-05,0.8907923755513548,0.11,0.332,187.112,0.0,0.6001697792869269,37.0,0.358974358974359
72,Next Life,5oDy6SIxZ3ANDoif3agSoP,8.0,0.5610739556594652,6.0,1.0,4.0,0.000401,0.5539999999999999,0.986,0.000173,0.9457703213610585,0.151,0.418,95.012,0.0,0.7181663837011885,30.0,0.1794871794871795
73,He Said Eternity,4IWswHsnngSv1HcYqtj91U,9.0,0.5416456797472412,7.0,1.0,4.0,0.00317,0.395,0.9279999999999999,0.000267,0.8759057971014493,0.166,0.23600000000000002,183.78900000000002,0.0,0.6086587436332768,27.0,0.10256410256410256
74,Circles,5Th1ssde5uMu0uAo4MJLGV,10.0,0.596235013992776,0.0,1.0,4.0,0.0173,0.28300000000000003,0.865,2.11e-06,0.8688957151858853,0.0921,0.195,185.981,0.0,0.5721561969439728,26.0,0.07692307692307693
75,When the Storm Subsides,3QIwN9cLrgPbfmAHSZ8dwc,11.0,0.6887112370475916,9.0,1.0,4.0,0.441,0.495,0.406,0.000886,0.5607671707624449,0.0374,0.3,152.023,0.0,0.7427843803056027,32.0,0.23076923076923078
76,The Gun Show,2qc2uSwYlXSg5msv7VZ81c,1.0,0.6904700980167697,9.0,0.0,4.0,0.0297,0.17600000000000002,0.981,0.00035800000000000003,0.9199354127284184,0.14300000000000002,0.0703,184.843,0.0,0.41765704584040747,43.0,0.5128205128205128
77,Just Drive,1ES07U55JIRLoxcH6ieWNs,2.0,0.47775566108122813,6.0,0.0,4.0,0.00655,0.276,0.988,0.0,0.9798755513547575,0.188,0.141,179.84900000000002,0.0,0.399830220713073,38.0,0.38461538461538464
78,The Promise,4K6QbaU4KdvYJAOncr2Iu0,3.0,0.6408745282993458,9.0,0.0,4.0,0.0635,0.35600000000000004,0.97,0.0,0.9408868935097668,0.0935,0.142,149.937,0.0,0.5390492359932089,46.0,0.5897435897435898
79,Standing Alone,3DuGHPU5QEbKP4vswIv6zp,4.0,0.5424348777012522,6.0,1.0,4.0,0.00267,0.35,0.9390000000000001,0.0,0.9354127284183995,0.077,0.18600000000000003,93.94200000000001,0.0,0.4694397283531409,33.0,0.2564102564102564
80,A Star-Crossed Wasteland,0luxLYF4VC7706vqUehJuF,5.0,0.6496742201619876,0.0,1.0,4.0,0.071,0.267,0.8009999999999999,1.59e-06,0.9221802142407056,0.0465,0.22399999999999998,159.616,0.0,0.4762308998302207,29.0,0.15384615384615385
81,Blazin',3u4GCqW4MFfsBVBnvqUj1F,6.0,0.6211580469909471,6.0,1.0,4.0,6.0899999999999996e-05,0.309,0.9890000000000001,0.0016899999999999999,0.9321439823566476,0.11800000000000001,0.18100000000000002,169.834,0.0,0.5628183361629882,39.0,0.41025641025641024
82,The Road,5Zgj72cqANtIg0xA6b69uh,7.0,0.5765185326843774,1.0,0.0,4.0,0.00293,0.223,0.978,0.0,0.9626654064272212,0.14800000000000002,0.151,179.959,0.0,0.45840407470288624,27.0,0.10256410256410256
83,Iron Army,6MGBqW9WV2YnvQe4mZznPP,8.0,0.47764792074620954,4.0,0.0,3.0,0.000323,0.41100000000000003,0.993,3.82e-06,0.9631773787019533,0.147,0.10800000000000001,139.971,0.0,0.4091680814940577,30.0,0.1794871794871795
84,The Last Cowboy,7brtkPcqTJ4r48D7EflLVJ,9.0,0.5500844414875709,9.0,0.0,4.0,0.00361,0.107,0.9540000000000001,0.0,0.927536231884058,0.253,0.146,173.56,0.0,0.4380305602716469,38.0,0.38461538461538464
85,World In Flames,0IQjdxEdbZjFu1GKHu4GIF,10.0,0.7820493827825558,1.0,1.0,4.0,0.168,0.29600000000000004,0.65,0.0,0.9155639571518588,0.0362,0.182,139.601,0.0,0.6409168081494058,34.0,0.28205128205128205
