,name,id,track_number,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,explicit,complexity,popularity
58,Mechanical Love,6Y0ioR1BgYT5Y1OAYCs1xB,5.0,217653.0,6.0,1.0,4.0,0.00588,0.329,0.989,0.0,-1.551,0.224,0.38,169.968,0.0,718.0,30.0
59,Her Kiss,5eALIBoo4mk2vXSJkEfqAG,6.0,270093.0,0.0,1.0,4.0,0.000534,0.207,0.994,7.92e-06,-1.701,0.229,0.0927,130.035,0.0,804.0,29.0
60,Into the Light,3DMwLNPTaHstfYoIVgiQyv,7.0,252320.0,0.0,1.0,4.0,0.816,0.465,0.302,0.0,-7.545,0.0285,0.136,107.918,0.0,724.0,41.0
61,You Always Believed,5uc9ZPgiXuyeYGa1TzM3xl,8.0,220600.0,1.0,1.0,4.0,0.000358,0.37,0.99,2.82e-06,-1.863,0.101,0.529,171.715,0.0,751.0,39.0
62,The Great Divide,6xWgN9yl5Cpg0jTxsYmYNX,9.0,251453.0,7.0,1.0,4.0,0.00306,0.373,0.979,0.000865,-3.563,0.251,0.166,196.085,0.0,981.0,38.0
63,Violet Skies,4QpVCBzD9pzaOUm3Pcd8yL,10.0,236547.0,1.0,1.0,4.0,0.000353,0.347,0.988,1.62e-05,-1.354,0.227,0.489,180.256,0.0,806.0,31.0
64,The Dream,3irucyq7iQNz7p25YdAtAD,11.0,282880.0,2.0,1.0,4.0,0.218,0.333,0.538,2.3e-05,-7.102,0.03,0.201,156.022,0.0,838.0,27.0
65,Whispers of October,1JBxGcf45jYwTRmhw97K0L,1.0,66080.0,9.0,0.0,4.0,0.214,0.294,0.74,0.00527,-26.746,0.513,0.0304,109.649,0.0,242.0,25.0
66,Prayers,1zkFOuPlR9fa6RVMVcPt1f,2.0,226600.0,4.0,0.0,4.0,0.0002,0.387,0.966,3.14e-06,-3.165,0.173,0.292,177.858,0.0,717.0,40.0
67,Beautiful Tragedy,3eIDFlBvKsssIpKeTSKEO6,3.0,240960.0,7.0,1.0,4.0,0.0303,0.411,0.95,0.0,-3.051,0.114,0.423,179.997,0.0,851.0,45.0
68,Ashes,7wQjtdGlmH1phAPrRMs8KF,4.0,231453.0,4.0,0.0,4.0,0.00767,0.379,0.952,0.000224,-3.719,0.206,0.177,187.099,0.0,793.0,37.0
69,Daddy's Falling Angel,618FatKAWaX01mWB8VCUuv,5.0,252613.0,7.0,1.0,4.0,0.000354,0.332,0.958,0.00257,-3.381,0.287,0.338,195.071,0.0,907.0,33.0
70,Legacy of Odio,23OQ1M4QI4WyItiOhBhKLX,6.0,247347.0,11.0,0.0,4.0,0.18,0.211,0.664,0.0,-4.629,0.0371,0.0603,142.929,0.0,691.0,27.0
71,This Moment,2ImcEbVdy9YABB0UBofjrR,7.0,238333.0,2.0,0.0,3.0,0.00826,0.364,0.93,2.02e-05,-4.127,0.11,0.332,187.112,0.0,829.0,37.0
72,Next Life,5oDy6SIxZ3ANDoif3agSoP,8.0,238413.0,6.0,1.0,4.0,0.000401,0.554,0.986,0.000173,-2.731,0.151,0.418,95.012,0.0,968.0,30.0
73,He Said Eternity,4IWswHsnngSv1HcYqtj91U,9.0,231200.0,7.0,1.0,4.0,0.00317,0.395,0.928,0.000267,-4.505,0.166,0.236,183.789,0.0,839.0,27.0
74,Circles,5Th1ssde5uMu0uAo4MJLGV,10.0,251467.0,0.0,1.0,4.0,0.0173,0.283,0.865,2.11e-06,-4.683,0.0921,0.195,185.981,0.0,796.0,26.0
75,When the Storm Subsides,3QIwN9cLrgPbfmAHSZ8dwc,11.0,285800.0,9.0,1.0,4.0,0.441,0.495,0.406,0.000886,-12.507,0.0374,0.3,152.023,0.0,997.0,32.0
76,The Gun Show,2qc2uSwYlXSg5msv7VZ81c,1.0,286453.0,9.0,0.0,4.0,0.0297,0.176,0.981,0.000358,-3.387,0.143,0.0703,184.843,0.0,614.0,43.0
77,Just Drive,1ES07U55JIRLoxcH6ieWNs,2.0,207480.0,6.0,0.0,4.0,0.00655,0.276,0.988,0.0,-1.865,0.188,0.141,179.849,0.0,593.0,38.0
78,The Promise,4K6QbaU4KdvYJAOncr2Iu0,3.0,268040.0,9.0,0.0,4.0,0.0635,0.356,0.97,0.0,-2.855,0.0935,0.142,149.937,0.0,757.0,46.0
79,Standing Alone,3DuGHPU5QEbKP4vswIv6zp,4.0,231493.0,6.0,1.0,4.0,0.00267,0.35,0.939,0.0,-2.994,0.077,0.186,93.942,0.0,675.0,33.0
80,A Star-Crossed Wasteland,0luxLYF4VC7706vqUehJuF,5.0,271307.0,0.0,1.0,4.0,0.071,0.267,0.801,1.59e-06,-3.33,0.0465,0.224,159.616,0.0,683.0,29.0
81,Blazin',3u4GCqW4MFfsBVBnvqUj1F,6.0,260720.0,6.0,1.0,4.0,6.09e-05,0.309,0.989,0.00169,-3.077,0.118,0.181,169.834,0.0,785.0,39.0
82,The Road,5Zgj72cqANtIg0xA6b69uh,7.0,244147.0,1.0,0.0,4.0,0.00293,0.223,0.978,0.0,-2.302,0.148,0.151,179.959,0.0,662.0,27.0
83,Iron Army,6MGBqW9WV2YnvQe4mZznPP,8.0,207440.0,4.0,0.0,3.0,0.000323,0.411,0.993,3.82e-06,-2.289,0.147,0.108,139.971,0.0,604.0,30.0
84,The Last Cowboy,7brtkPcqTJ4r48D7EflLVJ,9.0,234333.0,9.0,0.0,4.0,0.00361,0.107,0.954,0.0,-3.194,0.253,0.146,173.56,0.0,638.0,38.0
85,World In Flames,0IQjdxEdbZjFu1GKHu4GIF,10.0,320453.0,1.0,1.0,4.0,0.168,0.296,0.65,0.0,-3.498,0.0362,0.182,139.601,0.0,877.0,34.0
